Order_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Country,Region,Order_Date,Ship_Date,Product_Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Profit,Shipping_Cost,Sales,Payment_Method,Customer_Segment,Delivery_Status,Rating,Month,Quarter,Year
ORD401828,CUST6685,Customer_CUST6685,Female,37,Ahmedabad,Gujarat,India,West,2023-11-27,2023-11-28,Electronics,Accessories,Dell XPS,4,50000,0.14,32999.58,1875.35,172178.26,UPI,Premium,Pending,1.0,11,4,2023
ORD463490,CUST1792,Customer_CUST1792,Female,23,Mumbai,Maharashtra,India,West,2022-07-14,2022-07-17,Clothing,Men's Wear,Formal Suit,2,1500,0.8,111.41,667.57,600.0,Net Banking,Silver,Returned,,7,3,2022
ORD403382,CUST1962,Customer_CUST1962,Male,51,Kolkata,West Bengal,India,East,2024-09-11,2024-09-13,Electronics,Accessories,Dell XPS,2,50000,0.03,20712.45,933.6,97067.17,UPI,Regular,Delivered,5.0,9,3,2024
ORD164484,CUST6628,Customer_CUST6628,Male,30,Jaipur,Rajasthan,India,North,2024-05-25,2024-05-30,Books,Academic,The Alchemist,5,150,0.28,77.2,415.91,538.41,Net Banking,Premium,Pending,,5,2,2024
ORD373441,CUST4570,Customer_CUST4570,Female,38,Chennai,Tamil Nadu,India,South,2023-07-01,2023-07-02,Electronics,Tablets,iPad Air,3,2000,0.25,473.13,674.71,4529.68,UPI,Silver,Cancelled,2.0,7,3,2023
ORD525038,CUST9010,Customer_CUST9010,Female,46,Nagpur,Maharashtra,India,West,2023-01-26,2023-02-04,Clothing,Men's Wear,Levi's Jeans,5,500,0.19,183.06,2312.61,2014.27,UPI,Silver,Cancelled,4.0,1,1,2023
ORD753291,CUST8576,Customer_CUST8576,Male,40,Delhi,Delhi,India,North,2024-11-30,2024-12-03,Home & Kitchen,Furniture,Sofa Set,1,5000,0.29,852.78,490.08,3559.83,UPI,Silver,Pending,5.0,11,4,2024
ORD847217,CUST2557,Customer_CUST2557,Male,54,Kolkata,West Bengal,India,East,2022-05-28,2022-06-04,Electronics,Tablets,iPad Air,1,50000,0.16,6738.85,104.86,41949.86,Debit Card,Premium,Cancelled,5.0,5,2,2022
ORD816881,CUST8731,Customer_CUST8731,Male,18,Kolkata,West Bengal,India,East,2022-02-16,2022-02-26,Books,Comics,Atomic Habits,2,500,0.22,150.79,524.95,783.08,Debit Card,Silver,Delivered,2.0,2,1,2022
ORD334266,CUST8157,Customer_CUST8157,Female,32,Chennai,Tamil Nadu,India,South,2022-03-22,2022-03-27,Sports & Outdoors,Outdoor Gear,Tent,5,500,0.11,455.54,1503.32,2225.16,Cash on Delivery,Gold,Returned,3.0,3,1,2022
ORD954423,CUST5663,Customer_CUST5663,Male,38,Hyderabad,Telangana,India,South,2023-09-24,2023-09-26,Electronics,Accessories,Dell XPS,4,2000,0.06,1299.83,1485.93,7513.28,UPI,Gold,Cancelled,5.0,9,3,2023
ORD740535,CUST9946,Customer_CUST9946,Female,39,Kolkata,West Bengal,India,East,2024-10-11,2024-10-14,Sports & Outdoors,Team Sports,Tent,4,500,0.16,285.88,237.71,1689.29,UPI,Gold,Cancelled,2.0,10,4,2024
ORD475991,CUST6776,Customer_CUST6776,Female,44,Indore,Madhya Pradesh,India,Central,2024-08-11,2024-08-15,Clothing,Footwear,Adidas Shoes,1,500,0.24,56.44,357.36,378.11,Net Banking,Premium,Delivered,5.0,8,3,2024
ORD729855,CUST3741,Customer_CUST3741,Male,46,Hyderabad,Telangana,India,South,2024-11-24,2024-12-02,Sports & Outdoors,Team Sports,Running Shoes,4,800,0.16,527.74,691.34,2699.47,Cash on Delivery,Silver,Delivered,2.0,11,4,2024
ORD693813,CUST2904,Customer_CUST2904,Male,46,Mumbai,Maharashtra,India,West,2023-06-16,2023-06-20,Clothing,Women's Wear,Winter Jacket,4,2000,0.15,1492.42,1908.57,6793.53,UPI,Regular,Delivered,3.0,6,2,2023
ORD843231,CUST9322,Customer_CUST9322,Female,36,Kolkata,West Bengal,India,East,2023-09-10,2023-09-15,Books,Children,Sapiens,2,500,0.25,175.77,519.38,747.25,Cash on Delivery,Silver,Pending,2.0,9,3,2023
ORD990426,CUST4262,Customer_CUST4262,Male,28,Indore,Madhya Pradesh,India,Central,2024-06-26,2024-07-03,Electronics,Laptops,Canon Camera,4,30000,0.22,20703.51,1387.37,93360.89,UPI,Gold,Pending,3.0,6,2,2024
ORD202012,CUST1210,Customer_CUST1210,Female,63,Lucknow,Uttar Pradesh,India,North,2024-08-26,2024-09-01,Books,Non-Fiction,Harry Potter,3,300,0.02,111.76,234.85,883.45,Debit Card,Silver,Returned,3.0,8,3,2024
ORD495667,CUST1944,Customer_CUST1944,Female,36,Ahmedabad,Gujarat,India,West,2023-12-30,2024-01-08,Books,Children,Harry Potter,1,150,0.08,7.33,369.81,137.48,Net Banking,Premium,Returned,5.0,12,4,2023
ORD755827,CUST5411,Customer_CUST5411,Female,24,Ahmedabad,Gujarat,India,West,2023-06-10,2023-06-15,Clothing,Men's Wear,Nike T-Shirt,2,1500,0.27,274.81,726.22,2178.85,UPI,Silver,Delivered,2.0,6,2,2023
ORD438236DUP,CUST7682,Customer_CUST7682,Male,57,Jaipur,Rajasthan,India,North,2023-08-14,2023-08-16,Books,Non-Fiction,Atomic Habits,3,200,0.08,30.85,675.23,552.92,Cash on Delivery,Gold,Pending,1.0,8,3,2023
ORD944554,CUST9530,Customer_CUST9530,Female,38,Lucknow,Uttar Pradesh,India,North,2022-07-29,2022-07-30,Home & Kitchen,Bedding,Wall Art,5,1500,0.21,627.58,1006.64,5960.07,UPI,Silver,Cancelled,5.0,7,3,2022
ORD210755,CUST1189,Customer_CUST1189,Female,55,Hyderabad,Telangana,India,South,2022-08-06,2022-08-13,Sports & Outdoors,Team Sports,Running Shoes,5,500,0.28,305.41,2372.26,1806.88,Net Banking,Premium,Pending,2.0,8,3,2022
ORD874864DUP,CUST1011,Customer_CUST1011,Male,44,Kolkata,West Bengal,India,East,2022-09-24,2022-09-30,Home & Kitchen,Furniture,Sofa Set,1,10000,0.12,688.92,490.31,8768.56,Net Banking,Regular,Delivered,5.0,9,3,2022
ORD151492,CUST2956,Customer_CUST2956,Male,30,Jaipur,Rajasthan,India,North,2024-01-03,2024-01-11,Books,Non-Fiction,Sapiens,2,300,0.25,96.94,833.6,452.61,Credit Card,Regular,Cancelled,5.0,1,1,2024
ORD486199,CUST5693,Customer_CUST5693,Male,35,Hyderabad,Telangana,India,South,2024-04-09,2024-04-18,Electronics,Cameras,MacBook Pro,1,70000,0.04,15026.97,327.49,67405.74,Debit Card,Gold,Returned,3.0,4,2,2024
ORD127776,CUST8829,Customer_CUST8829,Male,18,Hyderabad,Telangana,India,South,2022-08-20,2022-08-24,Sports & Outdoors,Cycling,Football,4,500,0.08,301.69,906.53,1839.2,Credit Card,Premium,Cancelled,3.0,8,3,2022
ORD286814,CUST2816,Customer_CUST2816,Male,45,Indore,Madhya Pradesh,India,Central,2022-08-14,2022-08-15,Clothing,Women's Wear,Polo Shirt,1,1000,0.09,118.62,226.13,911.63,Debit Card,Silver,Pending,,8,3,2022
ORD823277,CUST5842,Customer_CUST5842,Female,44,Pune,Maharashtra,India,West,2022-12-20,2022-12-24,Clothing,Accessories,Winter Jacket,2,1500,0.02,425.62,386.38,2948.48,Net Banking,Regular,Cancelled,4.0,12,4,2022
ORD156938,CUST9150,Customer_CUST9150,Female,21,Pune,Maharashtra,India,West,2023-11-12,2023-11-21,Clothing,Women's Wear,Polo Shirt,4,300,0.23,80.22,694.86,918.5,Debit Card,Premium,Cancelled,2.0,11,4,2023
ORD912985,CUST8123,Customer_CUST8123,Female,37,Delhi,Delhi,India,North,2023-11-05,2023-11-12,Home & Kitchen,Cookware,Microwave Oven,4,10000,0.23,7231.7,919.74,30728.69,Credit Card,Gold,Cancelled,2.0,11,4,2023
ORD325942,CUST2967,Customer_CUST2967,Female,38,Bangalore,Karnataka,India,South,2023-06-23,2023-07-01,Clothing,Men's Wear,Summer Dress,1,300,0.03,65.88,254.86,289.87,UPI,Silver,Delivered,4.0,6,2,2023
ORD237397,CUST4653,Customer_CUST4653,Female,35,Mumbai,Maharashtra,India,West,2024-06-10,2024-06-16,Clothing,Footwear,Winter Jacket,2,2000,0.03,651.47,961.69,3884.63,Debit Card,Regular,Returned,2.0,6,2,2024
ORD588408DUP,CUST2769,Customer_CUST2769,Male,19,Mumbai,Maharashtra,India,West,2022-10-06,2022-10-11,Electronics,Laptops,Fitbit Watch,5,10000,0.03,6940.19,1136.44,48552.04,Cash on Delivery,Gold,Returned,2.0,10,4,2022
ORD399796,CUST8977,Customer_CUST8977,Male,26,Mumbai,Maharashtra,India,West,2024-10-20,2024-10-30,Clothing,Women's Wear,Winter Jacket,1,500,0.23,19.74,108.64,386.43,Credit Card,Silver,Pending,4.0,10,4,2024
ORD754766,CUST6444,Customer_CUST6444,Male,41,Jaipur,Rajasthan,India,North,2022-12-15,2022-12-23,Electronics,Cameras,Fitbit Watch,1,50000,0.09,3272.94,415.71,45252.21,Credit Card,Silver,Cancelled,4.0,12,4,2022
ORD183286,CUST1049,Customer_CUST1049,Female,43,Bangalore,Karnataka,India,South,2023-09-03,2023-09-04,Clothing,Women's Wear,Levi's Jeans,3,1500,0.09,949.53,552.77,4079.26,Cash on Delivery,Silver,Delivered,4.0,9,3,2023
ORD907235,CUST5174,Customer_CUST5174,Female,57,Pune,Maharashtra,India,West,2023-07-17,2023-07-13,Sports & Outdoors,Team Sports,Mountain Bike,5,3000,0.26,716.4,379.35,11148.74,UPI,Silver,Delivered,3.0,7,3,2023
ORD364152,CUST8487,Customer_CUST8487,Male,32,Mumbai,Maharashtra,India,West,2022-11-12,2022-11-13,Books,Non-Fiction,Deep Work,4,300,0.21,199.64,1444.05,946.8,Cash on Delivery,Regular,Pending,3.0,11,4,2022
ORD548814,CUST6755,Customer_CUST6755,Female,30,Chennai,Tamil Nadu,India,South,2024-06-05,2024-06-11,Electronics,Tablets,iPad Air,5,50000,0.15,47231.27,675.57,211444.54,Cash on Delivery,Gold,Returned,3.0,6,2,2024
ORD896188,CUST9107,Customer_CUST9107,Female,25,Mumbai,Maharashtra,India,West,2023-07-26,2023-07-27,Electronics,Tablets,Dell XPS,1,70000,0.04,10941.82,405.16,67547.55,Net Banking,Premium,Returned,2.0,7,3,2023
ORD438791,CUST5437,Customer_CUST5437,Female,26,Pune,Maharashtra,India,West,2024-10-26,2024-11-02,Electronics,Accessories,Samsung Galaxy,3,50000,0.1,31169.53,872.91,134553.41,Cash on Delivery,Silver,Delivered,2.0,10,4,2024
ORD386551,CUST2847,Customer_CUST2847,Male,25,Ahmedabad,Gujarat,India,West,2024-11-29,2024-12-05,Clothing,Men's Wear,Winter Jacket,4,1000,0.08,512.87,267.88,3664.5,Debit Card,Premium,Returned,1.0,11,4,2024
ORD291986,CUST4958,Customer_CUST4958,Male,40,Delhi,Delhi,India,North,2022-09-02,2022-09-03,Home & Kitchen,Appliances,Wall Art,2,10000,0.26,1386.44,472.63,14737.51,Net Banking,Regular,Delivered,1.0,9,3,2022
ORD273069,CUST6884,Customer_CUST6884,Female,42,Jaipur,Rajasthan,India,North,2023-07-26,2023-08-05,Books,Academic,1984,3,200,0.29,36.39,1265.0,427.83,UPI,Silver,Pending,5.0,7,3,2023
ORD122759,CUST2238,Customer_CUST2238,Male,34,Nagpur,Maharashtra,India,West,2022-11-02,2022-11-07,Home & Kitchen,Appliances,Microwave Oven,4,5000,0.24,1436.16,1289.89,15191.18,Net Banking,Gold,Returned,2.0,11,4,2022
ORD780242,CUST6587,Customer_CUST6587,Male,42,Pune,Maharashtra,India,West,2022-05-09,2022-05-07,Books,Comics,Harry Potter,5,500,0.03,281.55,1165.76,2424.55,Credit Card,Regular,Pending,5.0,5,2,2022
ORD210393DUP,CUST9797,Customer_CUST9797,Female,21,Indore,Madhya Pradesh,India,Central,2024-02-01,2024-02-08,Electronics,Tablets,Fitbit Watch,5,50000,0.2,11220.27,256.87,200777.36,Credit Card,Premium,Cancelled,3.0,2,1,2024
ORD298923DUP,CUST2399,Customer_CUST2399,Male,68,Kolkata,West Bengal,India,East,2023-02-17,2023-02-24,Sports & Outdoors,Cycling,Tent,3,3000,0.09,430.6,307.9,8199.31,Debit Card,Premium,Cancelled,1.0,2,1,2023
ORD959132,CUST6125,Customer_CUST6125,Female,45,Ahmedabad,Gujarat,India,West,2024-11-05,2024-11-11,Books,Fiction,Harry Potter,5,200,0.13,187.97,1873.9,868.13,Credit Card,Silver,Cancelled,4.0,11,4,2024
ORD345301,CUST1568,Customer_CUST1568,Female,26,Bangalore,Karnataka,India,South,2022-09-05,2022-09-15,Clothing,Men's Wear,Polo Shirt,5,2000,0.03,1741.66,879.63,9670.63,UPI,Gold,Delivered,1.0,9,3,2022
ORD135626,CUST5787,Customer_CUST5787,Male,30,Delhi,Delhi,India,North,2024-09-06,2024-09-15,Electronics,Smartphones,Samsung Galaxy,5,30000,0.02,23290.87,1205.4,146552.76,Cash on Delivery,Premium,Delivered,1.0,9,3,2024
ORD400128,CUST8580,Customer_CUST8580,Female,31,Kolkata,West Bengal,India,East,2024-10-10,2024-10-16,Sports & Outdoors,Outdoor Gear,Mountain Bike,3,500,0.1,172.44,1079.24,1354.11,Credit Card,Regular,Delivered,3.0,10,4,2024
ORD382608,CUST1036,Customer_CUST1036,Female,48,Pune,Maharashtra,India,West,2023-08-03,2023-08-09,Sports & Outdoors,Camping,Yoga Mat,3,2500,0.28,484.87,989.68,5393.62,Cash on Delivery,Silver,Cancelled,2.0,8,3,2023
ORD829581,CUST8100,Customer_CUST8100,Male,18,Indore,Madhya Pradesh,India,Central,2022-10-01,2022-10-10,Electronics,Cameras,Sony Headphones,5,70000,0.24,63674.81,605.02,267600.41,Debit Card,Gold,Pending,4.0,10,4,2022
ORD534104,CUST7183,Customer_CUST7183,Male,42,Chennai,Tamil Nadu,India,South,2022-01-19,2022-01-27,Clothing,Women's Wear,Adidas Shoes,2,300,0.22,102.28,277.24,469.87,UPI,Regular,Returned,5.0,1,1,2022
ORD480470,CUST6852,Customer_CUST6852,Male,48,Delhi,Delhi,India,North,2024-12-03,2024-12-09,Electronics,Smartphones,Fitbit Watch,2,2000,0.11,464.17,578.86,3568.56,UPI,Gold,Delivered,1.0,12,4,2024
ORD677101,CUST6892,Customer_CUST6892,Male,35,Nagpur,Maharashtra,India,West,2023-10-29,2023-10-30,Books,Fiction,The Alchemist,5,150,0.06,94.24,2089.5,702.39,Cash on Delivery,Regular,Pending,1.0,10,4,2023
ORD419818,CUST6821,Customer_CUST6821,Male,56,Ahmedabad,Gujarat,India,West,2023-12-14,2023-12-24,Books,Academic,Sapiens,1,1000,0.29,140.12,379.89,714.65,Net Banking,Premium,Delivered,5.0,12,4,2023
ORD891491,CUST8194,Customer_CUST8194,Female,46,Ahmedabad,Gujarat,India,West,2022-08-14,2022-08-20,Sports & Outdoors,Outdoor Gear,Tent,3,2500,0.06,1510.41,343.29,7080.73,Cash on Delivery,Regular,Cancelled,3.0,8,3,2022
ORD825885,CUST6543,Customer_CUST6543,Male,36,Ahmedabad,Gujarat,India,West,2023-11-21,2023-11-24,Clothing,Accessories,Levi's Jeans,5,5000,0.04,2233.75,2480.89,23991.68,Debit Card,Premium,Pending,4.0,11,4,2023
ORD373669,CUST5806,Customer_CUST5806,Female,35,Delhi,Delhi,India,North,2023-08-27,2023-09-03,Electronics,Smartphones,iPhone 14,4,30000,0.09,20585.53,1426.91,108854.69,UPI,Regular,Returned,2.0,8,3,2023
ORD265488,CUST6451,Customer_CUST6451,Female,42,Delhi,Delhi,India,North,2022-11-25,2022-11-30,Home & Kitchen,Appliances,Bed Sheets,5,10000,0.01,8729.34,1693.58,49589.74,Debit Card,Premium,Returned,3.0,11,4,2022
ORD706299,CUST3277,Customer_CUST3277,Male,52,Bangalore,Karnataka,India,South,2022-01-01,2022-01-05,Electronics,Smartphones,Dell XPS,4,70000,0.1,57373.35,240.97,253222.14,Debit Card,Gold,Pending,3.0,1,1,2022
ORD359332,CUST5496,Customer_CUST5496,Male,22,Hyderabad,Telangana,India,South,2024-04-23,2024-04-28,Electronics,Smartphones,Dell XPS,2,50000,0.13,20624.05,258.97,87295.3,Cash on Delivery,Premium,Delivered,5.0,4,2,2024
ORD623946DUP,CUST9218,Customer_CUST9218,Male,46,Hyderabad,Telangana,India,South,2024-11-16,2024-11-26,Sports & Outdoors,Camping,Mountain Bike,3,2500,0.25,1153.15,381.74,5636.4,Credit Card,Gold,Returned,5.0,11,4,2024
ORD660214,CUST6155,Customer_CUST6155,Male,47,Indore,Madhya Pradesh,India,Central,2024-06-17,2024-06-22,Electronics,Tablets,iPad Air,3,50000,0.08,17963.23,962.93,138202.92,Debit Card,Silver,Delivered,5.0,6,2,2024
ORD653753,CUST8158,Customer_CUST8158,Male,34,Lucknow,Uttar Pradesh,India,North,2023-03-25,2023-03-29,Sports & Outdoors,Team Sports,Tent,3,2500,0.05,889.86,484.9,7118.01,Cash on Delivery,Silver,Delivered,3.0,3,1,2023
ORD414475,CUST4039,Customer_CUST4039,Female,26,Indore,Madhya Pradesh,India,Central,2023-05-26,2023-05-29,Sports & Outdoors,Camping,Football,2,500,0.04,57.8,925.64,958.59,Debit Card,Silver,Pending,4.0,5,2,2023
ORD988993,CUST6608,Customer_CUST6608,Female,30,Mumbai,Maharashtra,India,West,2024-12-08,2024-12-14,Books,Children,The Alchemist,2,1000,0.04,351.78,383.07,1921.32,Cash on Delivery,Silver,Cancelled,3.0,12,4,2024
