Order_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Country,Region,Order_Date,Ship_Date,Product_Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Profit,Profit_Margin,Shipping_Cost,Payment_Method,Customer_Segment,Delivery_Status,Rating,Processing_Days,Month,Quarter,Year
ORD544195,CUST9880,Customer_CUST9880,Male,37,Hyderabad,Telangana,India,South,2024-08-08,2024-08-16,Books,Children,The Alchemist,5,300,0.0,1500.0,313.52,0.20901333333333333,1656.99,Net Banking,Gold,Returned,2.0,8,8,3,2024
ORD104724,CUST1088,Customer_CUST1088,Female,55,Delhi,Delhi,India,North,2022-10-30,2022-11-09,Books,Academic,1984,1,200,0.08,184.0,15.01,0.08157608695652174,285.13,Credit Card,Regular,Returned,5.0,10,10,4,2022
ORD289080,CUST5920,Customer_CUST5920,Female,18,Bangalore,Karnataka,India,South,2023-10-09,2023-10-10,Books,Fiction,Harry Potter,5,500,0.3,1750.0,395.83,0.22618857142857143,1315.02,COD,Silver,Cancelled,4.0,1,10,4,2023
ORD181541,CUST8331,Customer_CUST8331,Female,48,Mumbai,Maharashtra,India,West,2022-12-03,2022-12-10,Sports & Outdoors,Team Sports,Running Shoes,1,800,0.21,632.0,150.42,0.23800632911392403,272.0,Debit Card,Gold,Delivered,5.0,7,12,4,2022
ORD754776,CUST3024,Customer_CUST3024,Male,26,Lucknow,Uttar Pradesh,India,North,2022-08-10,2022-08-18,Home & Kitchen,Bedding,Mixer Grinder,3,2000,0.09,5460.0,1316.24,0.24106959706959707,214.23,Net Banking,Regular,Cancelled,4.0,8,8,3,2022
ORD420710,CUST8122,Customer_CUST8122,Male,43,Hyderabad,Telangana,India,South,2024-01-18,2024-01-21,Sports & Outdoors,Fitness,Football,5,3000,0.11,13350.0,1744.14,0.13064719101123595,848.79,Net Banking,Regular,Cancelled,4.0,3,1,1,2024
ORD969737,CUST1847,Customer_CUST1847,Female,18,Lucknow,Uttar Pradesh,India,North,2024-03-01,2024-03-07,Electronics,Tablets,Fitbit Watch,4,70000,0.17,232400.0,38359.71,0.1650589931153184,1060.61,Debit Card,Gold,Returned,5.0,6,3,1,2024
ORD310006,CUST9720,Customer_CUST9720,Male,30,Mumbai,Maharashtra,India,West,2022-01-08,2022-01-11,Home & Kitchen,Furniture,Dining Table,5,5000,0.16,21000.0,1155.81,0.05503857142857142,2271.81,Credit Card,Regular,Delivered,3.0,3,1,1,2022
ORD631609,CUST2794,Customer_CUST2794,Female,44,Hyderabad,Telangana,India,South,2024-06-19,2024-06-29,Sports & Outdoors,Outdoor Gear,Running Shoes,1,800,0.23,616.0,130.64,0.21207792207792206,271.23,Net Banking,Gold,Returned,4.0,10,6,2,2024
ORD689379,CUST7214,Customer_CUST7214,Male,34,Jaipur,Rajasthan,India,North,2023-12-14,2023-12-24,Home & Kitchen,Furniture,Wall Art,5,5000,0.08,23000.0,1166.37,0.05071173913043478,1348.4,Net Banking,Premium,Delivered,4.0,10,12,4,2023
ORD865721,CUST6753,Customer_CUST6753,Male,32,Nagpur,Maharashtra,India,West,2023-01-27,2023-01-30,Home & Kitchen,Furniture,Microwave Oven,5,1500,0.28,5400.0,859.21,0.15911296296296296,1400.25,Debit Card,Regular,Delivered,5.0,3,1,1,2023
ORD307927,CUST5073,Customer_CUST5073,Male,51,Mumbai,Maharashtra,India,West,2022-07-16,2022-07-24,Home & Kitchen,Appliances,Dining Table,4,10000,0.2,32000.0,7476.71,0.2336471875,1680.06,Debit Card,Silver,Returned,2.0,8,7,3,2022
ORD965041,CUST5616,Customer_CUST5616,Male,18,Hyderabad,Telangana,India,South,2023-09-06,2023-09-14,Books,Non-Fiction,1984,2,1000,0.13,1740.0,136.66,0.07854022988505747,607.62,Net Banking,Silver,Returned,3.0,8,9,3,2023
ORD406805,CUST1032,Customer_CUST1032,Male,28,Delhi,Delhi,India,North,2022-03-19,2022-03-28,Books,Academic,Sapiens,2,200,0.19,324.0,40.02,0.12351851851851853,553.78,Credit Card,Premium,Pending,5.0,9,3,1,2022
ORD334040,CUST5197,Customer_CUST5197,Male,41,Bangalore,Karnataka,India,South,2024-05-05,2024-05-15,Home & Kitchen,Furniture,Sofa Set,3,5000,0.24,11400.0,2764.44,0.24249473684210526,195.3,COD,Regular,Cancelled,2.0,10,5,2,2024
ORD284942,CUST6085,Customer_CUST6085,Male,29,Kolkata,West Bengal,India,East,2024-03-01,2024-03-04,Books,Children,The Alchemist,1,200,0.05,190.0,41.79,0.2199473684210526,305.03,Net Banking,Regular,Pending,5.0,3,3,1,2024
ORD200291,CUST3528,Customer_CUST3528,Male,18,Chennai,Tamil Nadu,India,South,2023-10-19,2023-10-28,Books,Comics,Atomic Habits,4,300,0.06,1128.0,124.83,0.11066489361702128,980.89,COD,Gold,Delivered,3.0,9,10,4,2023
ORD558119DUP,CUST8284,Customer_CUST8284,Female,37,Bangalore,Karnataka,India,South,2022-11-03,2022-11-06,Books,Children,Deep Work,1,1000,0.07,930.0,48.51,0.05216129032258064,116.49,UPI,Premium,Returned,5.0,3,11,4,2022
ORD733608,CUST6496,Customer_CUST6496,Male,18,Ahmedabad,Gujarat,India,West,2022-05-17,2022-05-20,Sports & Outdoors,Team Sports,Running Shoes,1,2500,0.0,2500.0,337.51,0.13500399999999999,58.04,UPI,Gold,Returned,4.0,3,5,2,2022
ORD853411,CUST6065,Customer_CUST6065,Male,30,Hyderabad,Telangana,India,South,2023-11-16,2023-11-25,Clothing,Men's Wear,Adidas Shoes,5,1500,0.11,6675.0,646.57,0.09686441947565544,276.51,Credit Card,Silver,Returned,1.0,9,11,4,2023
ORD401828,CUST6685,Customer_CUST6685,Female,37,Ahmedabad,Gujarat,India,West,2023-11-27,2023-11-28,Electronics,Accessories,Dell XPS,4,50000,0.14,172000.0,32999.58,0.19185802325581397,1875.35,UPI,Premium,Pending,1.0,1,11,4,2023
ORD463490,CUST1792,Customer_CUST1792,Female,23,Mumbai,Maharashtra,India,West,2022-07-14,2022-07-17,Clothing,Men's Wear,Formal Suit,2,1500,0.0,3000.0,111.41,0.037136666666666665,667.57,Net Banking,Silver,Returned,,3,7,3,2022
ORD403382,CUST1962,Customer_CUST1962,Male,51,Kolkata,West Bengal,India,East,2024-09-11,2024-09-13,Electronics,Accessories,Dell XPS,2,50000,0.03,97000.0,20712.45,0.21353041237113402,933.6,UPI,Regular,Delivered,5.0,2,9,3,2024
ORD164484,CUST6628,Customer_CUST6628,Male,30,Jaipur,Rajasthan,India,North,2024-05-25,2024-05-30,Books,Academic,The Alchemist,5,150,0.28,540.0,77.2,0.14296296296296296,415.91,Net Banking,Premium,Pending,,5,5,2,2024
ORD373441,CUST4570,Customer_CUST4570,Female,38,Chennai,Tamil Nadu,India,South,2023-07-01,2023-07-02,Electronics,Tablets,iPad Air,3,2000,0.25,4500.0,473.13,0.10514,674.71,UPI,Silver,Cancelled,2.0,1,7,3,2023
ORD525038,CUST9010,Customer_CUST9010,Female,46,Nagpur,Maharashtra,India,West,2023-01-26,2023-02-04,Clothing,Men's Wear,Levi's Jeans,5,500,0.19,2025.0,183.06,0.0904,2312.61,UPI,Silver,Cancelled,4.0,9,1,1,2023
ORD753291,CUST8576,Customer_CUST8576,Male,40,Delhi,Delhi,India,North,2024-11-30,2024-12-03,Home & Kitchen,Furniture,Sofa Set,1,5000,0.29,3550.0,852.78,0.24021971830985914,490.08,UPI,Silver,Pending,5.0,3,11,4,2024
ORD847217,CUST2557,Customer_CUST2557,Male,54,Kolkata,West Bengal,India,East,2022-05-28,2022-06-04,Electronics,Tablets,iPad Air,1,50000,0.16,42000.0,6738.85,0.16044880952380952,104.86,Debit Card,Premium,Cancelled,5.0,7,5,2,2022
ORD816881,CUST8731,Customer_CUST8731,Male,18,Kolkata,West Bengal,India,East,2022-02-16,2022-02-26,Books,Comics,Atomic Habits,2,500,0.22,780.0,150.79,0.1933205128205128,524.95,Debit Card,Silver,Delivered,2.0,10,2,1,2022
ORD334266,CUST8157,Customer_CUST8157,Female,32,Chennai,Tamil Nadu,India,South,2022-03-22,2022-03-27,Sports & Outdoors,Outdoor Gear,Tent,5,500,0.11,2225.0,455.54,0.2047370786516854,1503.32,COD,Gold,Returned,3.0,5,3,1,2022
ORD954423,CUST5663,Customer_CUST5663,Male,38,Hyderabad,Telangana,India,South,2023-09-24,2023-09-26,Electronics,Accessories,Dell XPS,4,2000,0.06,7520.0,1299.83,0.1728497340425532,1485.93,UPI,Gold,Cancelled,5.0,2,9,3,2023
ORD740535,CUST9946,Customer_CUST9946,Female,39,Kolkata,West Bengal,India,East,2024-10-11,2024-10-14,Sports & Outdoors,Team Sports,Tent,4,500,0.16,1680.0,285.88,0.17016666666666666,237.71,UPI,Gold,Cancelled,2.0,3,10,4,2024
ORD475991,CUST6776,Customer_CUST6776,Female,44,Indore,Madhya Pradesh,India,Central,2024-08-11,2024-08-15,Clothing,Footwear,Adidas Shoes,1,500,0.24,380.0,56.44,0.14852631578947367,357.36,Net Banking,Premium,Delivered,5.0,4,8,3,2024
ORD729855,CUST3741,Customer_CUST3741,Male,46,Hyderabad,Telangana,India,South,2024-11-24,2024-12-02,Sports & Outdoors,Team Sports,Running Shoes,4,800,0.16,2688.0,527.74,0.19633184523809524,691.34,COD,Silver,Delivered,2.0,8,11,4,2024
ORD693813,CUST2904,Customer_CUST2904,Male,46,Mumbai,Maharashtra,India,West,2023-06-16,2023-06-20,Clothing,Women's Wear,Winter Jacket,4,2000,0.15,6800.0,1492.42,0.2194735294117647,1908.57,UPI,Regular,Delivered,3.0,4,6,2,2023
ORD843231,CUST9322,Customer_CUST9322,Female,36,Kolkata,West Bengal,India,East,2023-09-10,2023-09-15,Books,Children,Sapiens,2,500,0.25,750.0,175.77,0.23436,519.38,COD,Silver,Pending,2.0,5,9,3,2023
ORD990426,CUST4262,Customer_CUST4262,Male,28,Indore,Madhya Pradesh,India,Central,2024-06-26,2024-07-03,Electronics,Laptops,Canon Camera,4,30000,0.22,93600.0,20703.51,0.22119134615384614,1387.37,UPI,Gold,Pending,3.0,7,6,2,2024
ORD202012,CUST1210,Customer_CUST1210,Female,63,Lucknow,Uttar Pradesh,India,North,2024-08-26,2024-09-01,Books,Non-Fiction,Harry Potter,3,300,0.02,882.0,111.76,0.12671201814058958,234.85,Debit Card,Silver,Returned,3.0,6,8,3,2024
ORD495667,CUST1944,Customer_CUST1944,Female,36,Ahmedabad,Gujarat,India,West,2023-12-30,2024-01-08,Books,Children,Harry Potter,1,150,0.08,138.0,7.33,0.05311594202898551,369.81,Net Banking,Premium,Returned,5.0,9,12,4,2023
ORD755827,CUST5411,Customer_CUST5411,Female,24,Ahmedabad,Gujarat,India,West,2023-06-10,2023-06-15,Clothing,Men's Wear,Nike T-Shirt,2,1500,0.27,2190.0,274.81,0.12548401826484018,726.22,UPI,Silver,Delivered,2.0,5,6,2,2023
ORD438236DUP,CUST7682,Customer_CUST7682,Male,57,Jaipur,Rajasthan,India,North,2023-08-14,2023-08-16,Books,Non-Fiction,Atomic Habits,3,200,0.08,552.0,30.85,0.05588768115942029,675.23,COD,Gold,Pending,1.0,2,8,3,2023
ORD944554,CUST9530,Customer_CUST9530,Female,38,Lucknow,Uttar Pradesh,India,North,2022-07-29,2022-07-30,Home & Kitchen,Bedding,Wall Art,5,1500,0.21,5925.0,627.58,0.10592067510548524,1006.64,UPI,Silver,Cancelled,5.0,1,7,3,2022
ORD210755,CUST1189,Customer_CUST1189,Female,55,Hyderabad,Telangana,India,South,2022-08-06,2022-08-13,Sports & Outdoors,Team Sports,Running Shoes,5,500,0.28,1800.0,305.41,0.16967222222222222,2372.26,Net Banking,Premium,Pending,2.0,7,8,3,2022
ORD874864DUP,CUST1011,Customer_CUST1011,Male,44,Kolkata,West Bengal,India,East,2022-09-24,2022-09-30,Home & Kitchen,Furniture,Sofa Set,1,10000,0.12,8800.0,688.92,0.07828636363636363,490.31,Net Banking,Regular,Delivered,5.0,6,9,3,2022
ORD151492,CUST2956,Customer_CUST2956,Male,30,Jaipur,Rajasthan,India,North,2024-01-03,2024-01-11,Books,Non-Fiction,Sapiens,2,300,0.25,450.0,96.94,0.2154222222222222,833.6,Credit Card,Regular,Cancelled,5.0,8,1,1,2024
ORD486199,CUST5693,Customer_CUST5693,Male,35,Hyderabad,Telangana,India,South,2024-04-09,2024-04-18,Electronics,Cameras,MacBook Pro,1,70000,0.04,67200.0,15026.97,0.22361562499999998,327.49,Debit Card,Gold,Returned,3.0,9,4,2,2024
ORD127776,CUST8829,Customer_CUST8829,Male,18,Hyderabad,Telangana,India,South,2022-08-20,2022-08-24,Sports & Outdoors,Cycling,Football,4,500,0.08,1840.0,301.69,0.16396195652173912,906.53,Credit Card,Premium,Cancelled,3.0,4,8,3,2022
ORD286814,CUST2816,Customer_CUST2816,Male,45,Indore,Madhya Pradesh,India,Central,2022-08-14,2022-08-15,Clothing,Women's Wear,Polo Shirt,1,1000,0.09,910.0,118.62,0.13035164835164836,226.13,Debit Card,Silver,Pending,,1,8,3,2022
ORD823277,CUST5842,Customer_CUST5842,Female,44,Pune,Maharashtra,India,West,2022-12-20,2022-12-24,Clothing,Accessories,Winter Jacket,2,1500,0.02,2940.0,425.62,0.1447687074829932,386.38,Net Banking,Regular,Cancelled,4.0,4,12,4,2022
ORD156938,CUST9150,Customer_CUST9150,Female,21,Pune,Maharashtra,India,West,2023-11-12,2023-11-21,Clothing,Women's Wear,Polo Shirt,4,300,0.23,924.0,80.22,0.08681818181818182,694.86,Debit Card,Premium,Cancelled,2.0,9,11,4,2023
ORD912985,CUST8123,Customer_CUST8123,Female,37,Delhi,Delhi,India,North,2023-11-05,2023-11-12,Home & Kitchen,Cookware,Microwave Oven,4,10000,0.23,30800.0,7231.7,0.23479545454545453,919.74,Credit Card,Gold,Cancelled,2.0,7,11,4,2023
ORD325942,CUST2967,Customer_CUST2967,Female,38,Bangalore,Karnataka,India,South,2023-06-23,2023-07-01,Clothing,Men's Wear,Summer Dress,1,300,0.03,291.0,65.88,0.22639175257731958,254.86,UPI,Silver,Delivered,4.0,8,6,2,2023
ORD237397,CUST4653,Customer_CUST4653,Female,35,Mumbai,Maharashtra,India,West,2024-06-10,2024-06-16,Clothing,Footwear,Winter Jacket,2,2000,0.03,3880.0,651.47,0.16790463917525775,961.69,Debit Card,Regular,Returned,2.0,6,6,2,2024
ORD588408DUP,CUST2769,Customer_CUST2769,Male,19,Mumbai,Maharashtra,India,West,2022-10-06,2022-10-11,Electronics,Laptops,Fitbit Watch,5,10000,0.03,48500.0,6940.19,0.14309670103092784,1136.44,COD,Gold,Returned,2.0,5,10,4,2022
ORD399796,CUST8977,Customer_CUST8977,Male,26,Mumbai,Maharashtra,India,West,2024-10-20,2024-10-30,Clothing,Women's Wear,Winter Jacket,1,500,0.23,385.0,19.74,0.05127272727272727,108.64,Credit Card,Silver,Pending,4.0,10,10,4,2024
ORD754766,CUST6444,Customer_CUST6444,Male,41,Jaipur,Rajasthan,India,North,2022-12-15,2022-12-23,Electronics,Cameras,Fitbit Watch,1,50000,0.09,45500.0,3272.94,0.07193274725274726,415.71,Credit Card,Silver,Cancelled,4.0,8,12,4,2022
ORD183286,CUST1049,Customer_CUST1049,Female,43,Bangalore,Karnataka,India,South,2023-09-03,2023-09-04,Clothing,Women's Wear,Levi's Jeans,3,1500,0.09,4095.0,949.53,0.23187545787545788,552.77,COD,Silver,Delivered,4.0,1,9,3,2023
ORD907235,CUST5174,Customer_CUST5174,Female,57,Pune,Maharashtra,India,West,2023-07-17,2023-07-20,Sports & Outdoors,Team Sports,Mountain Bike,5,3000,0.26,11100.0,716.4,0.06454054054054054,379.35,UPI,Silver,Delivered,3.0,3,7,3,2023
ORD364152,CUST8487,Customer_CUST8487,Male,32,Mumbai,Maharashtra,India,West,2022-11-12,2022-11-13,Books,Non-Fiction,Deep Work,4,300,0.21,948.0,199.64,0.21059071729957804,1444.05,COD,Regular,Pending,3.0,1,11,4,2022
ORD548814,CUST6755,Customer_CUST6755,Female,30,Chennai,Tamil Nadu,India,South,2024-06-05,2024-06-11,Electronics,Tablets,iPad Air,5,50000,0.15,212500.0,43338.14900000001,0.20394423058823535,675.57,COD,Gold,Returned,3.0,6,6,2,2024
ORD896188,CUST9107,Customer_CUST9107,Female,25,Mumbai,Maharashtra,India,West,2023-07-26,2023-07-27,Electronics,Tablets,Dell XPS,1,70000,0.04,67200.0,10941.82,0.16282470238095237,405.16,Net Banking,Premium,Returned,2.0,1,7,3,2023
ORD438791,CUST5437,Customer_CUST5437,Female,26,Pune,Maharashtra,India,West,2024-10-26,2024-11-02,Electronics,Accessories,Samsung Galaxy,3,50000,0.1,135000.0,31169.53,0.2308854074074074,872.91,COD,Silver,Delivered,2.0,7,10,4,2024
ORD386551,CUST2847,Customer_CUST2847,Male,25,Ahmedabad,Gujarat,India,West,2024-11-29,2024-12-05,Clothing,Men's Wear,Winter Jacket,4,1000,0.08,3680.0,512.87,0.13936684782608696,267.88,Debit Card,Premium,Returned,1.0,6,11,4,2024
ORD291986,CUST4958,Customer_CUST4958,Male,40,Delhi,Delhi,India,North,2022-09-02,2022-09-03,Home & Kitchen,Appliances,Wall Art,2,10000,0.26,14800.0,1386.44,0.09367837837837838,472.63,Net Banking,Regular,Delivered,1.0,1,9,3,2022
ORD273069,CUST6884,Customer_CUST6884,Female,42,Jaipur,Rajasthan,India,North,2023-07-26,2023-08-05,Books,Academic,1984,3,200,0.29,426.0,36.39,0.08542253521126761,1265.0,UPI,Silver,Pending,5.0,10,7,3,2023
ORD122759,CUST2238,Customer_CUST2238,Male,34,Nagpur,Maharashtra,India,West,2022-11-02,2022-11-07,Home & Kitchen,Appliances,Microwave Oven,4,5000,0.24,15200.0,1436.16,0.0944842105263158,1289.89,Net Banking,Gold,Returned,2.0,5,11,4,2022
ORD780242,CUST6587,Customer_CUST6587,Male,42,Pune,Maharashtra,India,West,2022-05-09,2022-05-12,Books,Comics,Harry Potter,5,500,0.03,2425.0,281.55,0.11610309278350515,1165.76,Credit Card,Regular,Pending,5.0,3,5,2,2022
ORD210393DUP,CUST9797,Customer_CUST9797,Female,21,Indore,Madhya Pradesh,India,Central,2024-02-01,2024-02-08,Electronics,Tablets,Fitbit Watch,5,50000,0.2,200000.0,11220.27,0.05610135,256.87,Credit Card,Premium,Cancelled,3.0,7,2,1,2024
ORD298923DUP,CUST2399,Customer_CUST2399,Male,68,Kolkata,West Bengal,India,East,2023-02-17,2023-02-24,Sports & Outdoors,Cycling,Tent,3,3000,0.09,8190.0,430.6,0.05257631257631258,307.9,Debit Card,Premium,Cancelled,1.0,7,2,1,2023
ORD959132,CUST6125,Customer_CUST6125,Female,45,Ahmedabad,Gujarat,India,West,2024-11-05,2024-11-11,Books,Fiction,Harry Potter,5,200,0.13,870.0,187.97,0.2160574712643678,1873.9,Credit Card,Silver,Cancelled,4.0,6,11,4,2024
ORD345301,CUST1568,Customer_CUST1568,Female,26,Bangalore,Karnataka,India,South,2022-09-05,2022-09-15,Clothing,Men's Wear,Polo Shirt,5,2000,0.03,9700.0,1741.66,0.17955257731958763,879.63,UPI,Gold,Delivered,1.0,10,9,3,2022
ORD135626,CUST5787,Customer_CUST5787,Male,30,Delhi,Delhi,India,North,2024-09-06,2024-09-15,Electronics,Smartphones,Samsung Galaxy,5,30000,0.02,147000.0,23290.87,0.15844129251700678,1205.4,COD,Premium,Delivered,1.0,9,9,3,2024
ORD400128,CUST8580,Customer_CUST8580,Female,31,Kolkata,West Bengal,India,East,2024-10-10,2024-10-16,Sports & Outdoors,Outdoor Gear,Mountain Bike,3,500,0.1,1350.0,172.44,0.12773333333333334,1079.24,Credit Card,Regular,Delivered,3.0,6,10,4,2024
ORD382608,CUST1036,Customer_CUST1036,Female,48,Pune,Maharashtra,India,West,2023-08-03,2023-08-09,Sports & Outdoors,Camping,Yoga Mat,3,2500,0.28,5400.0,484.87,0.08979074074074074,989.68,COD,Silver,Cancelled,2.0,6,8,3,2023
ORD829581,CUST8100,Customer_CUST8100,Male,18,Indore,Madhya Pradesh,India,Central,2022-10-01,2022-10-10,Electronics,Cameras,Sony Headphones,5,70000,0.24,266000.0,43338.14900000001,0.16292537218045117,605.02,Debit Card,Gold,Pending,4.0,9,10,4,2022
ORD534104,CUST7183,Customer_CUST7183,Male,42,Chennai,Tamil Nadu,India,South,2022-01-19,2022-01-27,Clothing,Women's Wear,Adidas Shoes,2,300,0.22,468.0,102.28,0.21854700854700854,277.24,UPI,Regular,Returned,5.0,8,1,1,2022
ORD480470,CUST6852,Customer_CUST6852,Male,48,Delhi,Delhi,India,North,2024-12-03,2024-12-09,Electronics,Smartphones,Fitbit Watch,2,2000,0.11,3560.0,464.17,0.13038483146067417,578.86,UPI,Gold,Delivered,1.0,6,12,4,2024
ORD677101,CUST6892,Customer_CUST6892,Male,35,Nagpur,Maharashtra,India,West,2023-10-29,2023-10-30,Books,Fiction,The Alchemist,5,150,0.06,705.0,94.24,0.1336737588652482,2089.5,COD,Regular,Pending,1.0,1,10,4,2023
ORD419818,CUST6821,Customer_CUST6821,Male,56,Ahmedabad,Gujarat,India,West,2023-12-14,2023-12-24,Books,Academic,Sapiens,1,1000,0.29,710.0,140.12,0.19735211267605635,379.89,Net Banking,Premium,Delivered,5.0,10,12,4,2023
ORD891491,CUST8194,Customer_CUST8194,Female,46,Ahmedabad,Gujarat,India,West,2022-08-14,2022-08-20,Sports & Outdoors,Outdoor Gear,Tent,3,2500,0.06,7050.0,1510.41,0.21424255319148938,343.29,COD,Regular,Cancelled,3.0,6,8,3,2022
ORD825885,CUST6543,Customer_CUST6543,Male,36,Ahmedabad,Gujarat,India,West,2023-11-21,2023-11-24,Clothing,Accessories,Levi's Jeans,5,5000,0.04,24000.0,2233.75,0.09307291666666667,2480.89,Debit Card,Premium,Pending,4.0,3,11,4,2023
